73~2010~10~ict-10-03-18~18~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පනයට තේමාවක් පසුතලයක් හා වස්තු යොදමු~~~~~~~~
74~2010~10~ict-10-03-19~19~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~වස්තු හා පාඨ සජිවිකරණය~~~~~~~~
75~2010~10~ict-10-03-20-01~20~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~සමර්පනයට අදිසන්ධනයක් හා ක්‍රියාකාරී බොත්තම් අන්තර්ගත කිරීම~~~~~~~~
76~2010~10~ict-10-03-20~20~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~සමර්පනයට ශබ්ධ හා වීඩියෝ අන්තර්ගත කිරීම~~~~~~~~
77~2010~10~ict-10-03-21~21~3~9~දත්ත සමුදාය~දත්ත සමුදාය~දත්ත සමුදා සංකල්පය ගවේශනය~~~~~~~~
78~2010~10~ict-10-03-22~22~3~9~දත්ත සමුදාය~දත්ත සමුදාය~දත්ත සමුදාය කළමණාකරන පද්ධතිය~~~~~~~~
79~2010~10~ict-10-03-23~23~3~9~දත්ත සමුදාය~දත්ත සමුදාය~දත්ත සමුදායක් සැලසුම් කිරීම හා සකස් කිරීම~~~~~~~~
80~2010~10~ict-10-03-24~24~3~9~දත්ත සමුදාය~දත්ත සමුදාය~ක්ෂේත්‍ර නාම්හ සිමා  ~~~~~~~~
81~2010~10~ict-10-03-25~25~3~9~දත්ත සමුදාය~දත්ත සමුදාය~දත්ත වර්ග හා එහි ක්ෂේත්‍රයේ තරම~~~~~~~~
82~2010~10~ict-10-03-26~26~3~9~දත්ත සමුදාය~දත්ත සමුදාය~දත්ත සමුදය මෘදුකාංග හදුන්වාදීම ඇසුරින් දත්ත සමුදායක් නිර්මාණය~~~~~~~~
83~2010~10~ict-10-03-27~27~3~9~දත්ත සමුදාය~දත්ත සමුදාය~වගුවට අදාල ක්ෂේත්‍ර නාම ඇතුලත් කිරීම~~~~~~~~
84~2010~10~ict-10-03-28~28~3~9~දත්ත සමුදාය~දත්ත සමුදාය~ක්ෂේත්‍ර තරම දැක්වීම ක්ෂේත්‍ර වටිනාකම් විස්තර කිරීම~~~~~~~~
85~2010~10~ict-10-03-29~29~3~9~දත්ත සමුදාය~දත්ත සමුදාය~වගු නිර්මාණය ක්ෂේත්‍ර විස්තර කිරීම  ~~~~~~~~
86~2010~10~ict-10-03-30~30~3~9~දත්ත සමුදාය~දත්ත සමුදාය~දත්ත වගුවක ප්‍රාථමික යතුර පිහිටු වීම~~~~~~~~
87~2010~10~ict-10-03-37~37~3~9~දත්ත සමුදාය~දත්ත සමුදාය~විද්‍යුත් පැතුරුම්පත් පුනරීක්ෂණ අභ්‍යාස~~~~~~~~
