12.Gampaha~WP/GAM/MINU/SRI DHAMMALOKA DARMADUTHA PIRIVENA    ~GODIGAMUWA BADALGAMA                              ~~0312269290
12.Gampaha~WP/KAL/SRI DEERANANDA VIDYATHANA PIRIVENA         ~THABILIGASMULLA MAKOLA                            ~~0112912185
12.Gampaha~MINU/AMARADARSHI DIVIBASHA MULIKA PIRIVENA        ~SRI JAYATHILAKARAMA VIHARAYA EAST PALLIYAPITIYA   ~~0312246089
12.Gampaha~WP/GAM/MINU/SRI WIJAYAWANSHA DIVIBASHA MULIKA PIRI~SRI SUGATHA SASANADARA VIHARAYA WATHUMULLA UDUGAMP~~0714400965
12.Gampaha~WP/MINU/SHANTHI NIKETHA MULIKA PIRIVENA           ~SRI BODIRAJARAMAYA GALEWATTA AKARAGAMA            ~~0312269226
12.Gampaha~WP/NEG/SRI VIJAYA MULIKA PIRIVENA                 ~19, KOPPARA JUNCTION MEERIGAMA  RD NEGOMBO         ~~0312227470
12.Gampaha~WP/GAM/KAL/CHITHTHABAYASA DVIBASHA MULIKA PIRIVENA~738/1, SUDARSHANA MAWATHA, HIMBUTUWALGODA, KELANIYA~~0112905659
12.Gampaha~WP/GAM/SIRI SUMANGALA MULIKA PIRIVENA~KATULANDA ELLAKKALA~~
12.Gampaha~GAM/ BUDDHA SHRAVIKA SEELAMATHA EDUCATION CENTER~MANELWATTA, KELANIYA~~0763333054/ 0712877299
12.Gampaha~GAM/SRI SAMBUDDHATHWA JAYANTHI SEELAMATHA EDUCATION CENTER~BORAGODAWATTA, MINUWANGODA~~0112229926/ 0776978158
13.Kalutara~K/VIDYARTHA VIDYAYATHANA PIRIVENA                 ~PANADURA ROAD, HORANA                              ~~0342261268
13.Kalutara~K/ VIDYARAMA VIDYAYATHANA PIRIVENA                ~MEEGAHATHENNA                                     ~~0342284004
13.Kalutara~SRI NIWASA VIDYAYATHANA PIRIVENA                  ~WALAGEDARA                                        ~~0342261268
13.Kalutara~KALU/NALANDA VIDYAYATHANA PIRIVENA                ~KUDAUDUWA, HORANA                                  ~~0342284004
13.Kalutara~KA/ SRI SUMANGALA VIDYAYATHANA PIRIVENA           ~PANTHIYA, MATUGAMA                                 ~~0342249865
13.Kalutara~KALU/ VIDYASARA VIDYAYATHANA PIRIVENA             ~NORTH SRI SUMANGALA ROAD, KALUTARA NORTH          ~~0342237622
13.Kalutara~KALU/ SADDHARMAKARA VIDYAYATHANA PIRIVENA         ~PINWATHTHA, PANADURA                               ~~0382248004
13.Kalutara~KA/ SRI DHARMAPALA MAHA PIRIVENA                  ~BELLANA                                           ~~0342246425
13.Kalutara~KALU/ SHESHTHRARAMA MAHA PIRIVENA                 ~KANDE VIHARAYA, ALUTHGAMA                          ~~0342290276
13.Kalutara~KALU/PAWACHANODAYA MAHA PIRIVENA                  ~MOLLIODA , WADDUWA                                 ~~0382294040
13.Kalutara~KA/PRATHIRAJA PIRIVENA                            ~KAKULANDALA , AGALAWATTA                           ~~0342247494
13.Kalutara~K/VIDYARAJA MULIKA PIRIVENA                       ~GORAKAPOLA , PANADURA                              ~~0382232649
13.Kalutara~KA/SRI DHARMAGUPTHA MULIKA PIRIVENA               ~PAYAGALA -SOUTH                                   ~~0342233166
13.Kalutara~KALU/SRI PURWARAMA DHARMAVIJAYA PIRIVENA          ~PIRIVENA ROAD, KALUTARA SOUTH                     ~~0342222693
13.Kalutara~KALU/SRI SAUGATHA VIDYALAYA MULIKA PIRIVENA       ~RANKOTH VIHARAYA , PANADURA                        ~~0382232432
13.Kalutara~KALU/GRANTHALANKARA MULIKA PIRIVENA               ~THEBUWANA                                         ~~0342242014
13.Kalutara~KALU/SRI ABAYARAJA MULIKA PIRIVENA                ~NARAVILA, MATUGAMA                                ~~0342248000
13.Kalutara~KA/SIRI INDRASABHA MULIKA PIRIVENA                ~BOPITIYA, MATUGAMA                                 ~~0342245975
13.Kalutara~KA/SRI DHARMARAMA PIRIVENA                        ~DEDIYAWALA, WASKADUWA                              ~~0342237260
